EUVD,VEDAS
EUVD-1999-0513,0.0
EUVD-1999-0520,0.0
EUVD-1999-0517,0.0
EUVD-1999-0518,0.0
EUVD-1999-0526,0.0
EUVD-1999-0530,0.0
EUVD-1999-0528,0.0
EUVD-1999-0514,0.0
EUVD-1999-0525,0.0
EUVD-1999-0512,0.0
EUVD-1999-0531,0.0
EUVD-1999-0521,0.0
EUVD-1999-0522,0.0
EUVD-1999-0519,0.0
EUVD-1999-0516,0.0
EUVD-1999-0527,0.0
EUVD-1999-0523,0.0
EUVD-1999-0534,0.0
EUVD-1999-0544,0.0
EUVD-1999-0515,0.0
EUVD-1999-0532,0.0
EUVD-1999-0542,0.0
EUVD-1999-0533,0.0
EUVD-1999-0539,0.0
EUVD-1999-0536,0.0
EUVD-1999-0535,0.0
EUVD-1999-0524,-0.0031631000000000853
EUVD-1999-0541,0.0
EUVD-1999-0538,0.0
EUVD-1999-0537,0.0
EUVD-1999-0554,0.0
EUVD-1999-0567,0.0
EUVD-1999-0553,0.0
EUVD-1999-0547,0.0
EUVD-1999-0540,0.0
EUVD-1999-0560,0.0
EUVD-1999-0548,0.0
EUVD-1999-0558,0.0
EUVD-1999-0546,0.0
EUVD-1999-0566,0.0
EUVD-1999-0545,0.0
EUVD-1999-0543,0.0
EUVD-1999-0550,0.0
EUVD-1999-0568,0.0
EUVD-1999-0579,0.0
EUVD-1999-0559,0.0
EUVD-1999-0569,0.0
EUVD-1999-0552,0.0
EUVD-1999-0557,0.0
EUVD-1999-0555,0.0
EUVD-1999-0564,0.0
EUVD-1999-0570,0.0
EUVD-1999-0586,0.0
EUVD-1999-0556,0.0
EUVD-1999-0576,0.0
EUVD-1999-0583,0.0
EUVD-1999-0585,0.0
EUVD-1999-0549,0.0
EUVD-1999-0551,0.0
EUVD-1999-0561,0.0
EUVD-1999-0572,0.0
EUVD-1999-0563,0.0
EUVD-1999-0573,0.0
EUVD-1999-0575,0.0
EUVD-1999-0562,0.0
EUVD-1999-0565,0.0
EUVD-1999-0621,0.0
EUVD-1999-0589,0.0
EUVD-1999-0609,0.0
EUVD-1999-0584,0.0
EUVD-1999-0580,0.0
EUVD-1999-0571,0.0
EUVD-1999-0612,0.0
EUVD-1999-0624,0.0
EUVD-1999-0608,0.0
EUVD-1999-0581,0.0
EUVD-1999-0578,0.0
EUVD-1999-0593,0.0
EUVD-1999-0594,0.0
EUVD-1999-0607,0.0
EUVD-1999-0574,0.0
EUVD-1999-0577,0.0
EUVD-1999-0588,0.0
EUVD-1999-0601,0.0
EUVD-1999-0611,0.0
EUVD-1999-0623,0.0
EUVD-1999-0613,0.0
EUVD-1999-0595,0.0
EUVD-1999-0587,0.0
EUVD-1999-0619,0.0
EUVD-1999-0618,0.0
EUVD-1999-0590,0.0
EUVD-1999-0591,0.0
EUVD-1999-0582,0.0
EUVD-1999-0596,0.0
EUVD-1999-0615,0.0
EUVD-1999-0610,0.0
EUVD-1999-0622,0.0
EUVD-1999-0592,0.0
EUVD-1999-0620,0.0
EUVD-1999-0411,0.0
EUVD-1999-0412,0.0
EUVD-1999-0418,0.0
EUVD-1999-0414,0.0
EUVD-1999-0427,0.0
EUVD-1999-0415,0.0
EUVD-1999-0422,0.0
EUVD-1999-0417,0.0
EUVD-1999-0416,0.0
EUVD-1999-0428,0.0
EUVD-1999-0421,0.0
EUVD-1999-0413,0.0
EUVD-1999-0419,0.0
EUVD-1999-0420,0.0
EUVD-1999-0466,0.0
EUVD-1999-0447,0.0
EUVD-1999-0429,0.0
